ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
TGCC,2024,T4,IFRS,7850,2850,1150,680,-820,3850,8055,1177,522,0,250,980,175,31639850,11.50,420.00
TGCC,2024,T3,IFRS,N/A,N/A,1180,720,-950,3720,2120,N/A,N/A,0,N/A,N/A,N/A,31639850,N/A,385.00
TGCC,2024,T2,IFRS,7240,2620,1050,710,-950,3620,3850,540,245,0,120,410,85,31639850,N/A,315.00
TGCC,2024,T1,IFRS,N/A,N/A,980,750,-1050,3510,1850,N/A,N/A,0,N/A,N/A,N/A,31639850,N/A,285.00
TGCC,2023,T4,IFRS,6920,2480,950,720,-1120,3420,7290,817,363,0,225,640,326,31639850,9.50,218.00
TGCC,2023,T2,IFRS,6450,2350,880,690,-1050,3150,3250,420,185,0,110,320,145,31639850,N/A,185.00
TGCC,2022,T4,IFRS,5840,2210,840,650,-980,2850,5230,680,245,0,210,420,280,31639850,7.00,128.00
TGCC,2022,T2,IFRS,5450,2120,810,580,-850,2650,2450,310,115,0,105,210,120,31639850,N/A,142.00
TGCC,2021,T4,IFRS,5120,2050,780,520,-650,2420,3750,540,190,0,195,380,190,31639850,6.00,165.00
TGCC,2020,T4,IFRS,4250,1420,620,480,-480,2150,2250,210,35,0,180,-120,110,22000000,0.00,N/A
TGCC,2019,T4,IFRS,4580,1410,580,450,-420,2380,3050,490,175,0,175,310,140,22000000,0.00,N/A
TGCC,2018,T4,IFRS,4320,1350,540,420,-380,2240,2980,460,160,0,165,290,125,22000000,0.00,N/A
JET,2025,T3,IFRS,N/A,N/A,1150,780,-880,2450,2150,N/A,N/A,0,N/A,N/A,N/A,3115556,N/A,2850.00
JET,2025,T2,IFRS,5250,950,950,720,-850,2350,1580,245,85,0,55,210,75,3115556,N/A,2720.00
JET,2025,T1,IFRS,N/A,N/A,850,680,-750,2210,815,N/A,N/A,0,N/A,N/A,N/A,3115556,N/A,2550.00
JET,2024,T4,IFRS,4850,855,820,650,-717,2150,3130,385,130,0,95,310,120,3115556,5.00,1550.00
JET,2024,T2,IFRS,4450,810,850,620,-780,1950,1420,185,42,0,45,185,65,3115556,N/A,1250.00
JET,2023,T4,IFRS,4120,745,880,590,-750,1850,2230,285,69,0,88,240,85,3115556,2.00,285.00
JET,2023,T2,IFRS,3950,715,910,570,-810,1720,1050,135,28,0,42,120,45,3115556,N/A,245.00
JET,2022,T4,IFRS,3850,695,920,550,-840,1680,1840,210,28,0,82,180,60,3115556,0.00,195.00
JET,2022,T2,IFRS,3750,685,940,530,-880,1620,850,95,12,0,40,95,35,3115556,N/A,210.00
JET,2021,T4,IFRS,3680,680,950,520,-910,1550,1620,185,12,0,80,140,45,3115556,0.00,220.00
JET,2021,T2,IFRS,3550,670,965,500,-950,1480,720,85,5,0,38,65,25,3115556,N/A,205.00
JET,2020,T4,IFRS,3450,665,980,480,-880,1420,1380,90,-65,0,78,-110,35,3115556,0.00,180.00
JET,2019,T4,IFRS,3720,720,850,440,-780,1620,1750,240,65,0,75,220,55,3115556,3.50,310.00
JET,2018,T4,IFRS,3580,690,780,410,-690,1540,1580,220,58,0,72,210,50,3115556,4.00,340.00
JET,2017,T4,IFRS,3250,650,720,380,-620,1450,1450,195,52,0,68,185,45,3115556,4.00,420.00
JET,2016,T4,IFRS,2950,610,650,350,-550,1320,1280,165,45,0,62,150,40,3115556,3.50,165.00
JET,2015,T4,IFRS,2820,595,580,320,-480,1280,1180,150,40,0,58,135,35,3115556,3.00,155.00
JET,2014,T4,IFRS,2750,585,520,300,-420,1220,1120,140,38,0,55,120,32,3115556,2.50,185.00
JET,2013,T4,IFRS,2810,582,480,290,-380,1180,1140,142,41,0,50,115,38,3115556,3.00,245.00
JET,2012,T4,IFRS,2850,580,450,280,-350,1120,1150,145,42,0,45,110,40,3115556,3.00,310.00
MSA,2025,T2,IFRS,8550,3450,1450,450,2650,710,2685,1320,685,0,275,1150,215,73395600,N/A,525.00
MSA,2025,T1,IFRS,N/A,N/A,1520,440,2480,685,1285,N/A,N/A,0,N/A,N/A,N/A,73395600,N/A,485.00
MSA,2024,T4,IFRS,8299,3156,1598,435,2390,664,5008,2608,1267,0,520,2150,480,73395600,8.50,435.00
MSA,2024,T3,IFRS,N/A,N/A,1720,425,2250,640,1210,N/A,N/A,0,N/A,N/A,N/A,73395600,N/A,415.00
MSA,2024,T2,IFRS,8050,2850,1820,420,2150,620,2410,1180,615,0,255,1050,220,73395600,N/A,385.00
MSA,2024,T1,IFRS,N/A,N/A,1950,415,2050,610,1185,N/A,N/A,0,N/A,N/A,N/A,73395600,N/A,315.00
MSA,2023,T4,IFRS,7891,2513,2032,410,2007,599,4320,2055,852,0,495,1850,410,73395600,8.00,275.00
MSA,2023,T2,IFRS,7650,2420,2150,395,1920,580,2120,950,425,0,245,920,185,73395600,N/A,245.00
