"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2018","10,919.67","11,335.55","11,344.71","10,905.91","","-3.67%"
"09/01/2018","11,335.55","11,546.49","11,546.49","11,098.13","","-1.83%"
"08/01/2018","11,546.49","11,746.14","11,820.72","11,523.51","","-1.70%"
"07/01/2018","11,746.14","11,878.65","12,043.07","11,307.64","","-1.12%"
"06/01/2018","11,878.65","12,311.71","12,467.30","11,874.14","","-3.70%"
"05/01/2018","12,335.37","13,028.01","13,067.59","12,335.37","","-5.32%"
"04/01/2018","13,028.01","13,062.38","13,093.59","12,795.29","","-0.26%"
"03/01/2018","13,062.38","13,142.71","13,293.51","12,889.72","","-0.61%"
"02/01/2018","13,142.71","13,075.49","13,387.50","12,975.30","","0.51%"
"01/01/2018","13,075.49","12,388.82","13,110.13","12,372.18","","5.54%"
"12/01/2017","12,388.82","12,568.42","12,577.59","12,100.40","","-1.43%"
"11/01/2017","12,568.42","12,373.04","12,750.80","12,342.44","","1.58%"
"10/01/2017","12,373.04","12,140.47","12,522.57","12,107.16","","1.92%"
"09/01/2017","12,140.47","12,397.12","12,794.57","12,114.56","","-2.07%"
"08/01/2017","12,397.12","12,201.33","12,455.51","12,098.66","","1.60%"
"07/01/2017","12,201.33","12,015.84","12,414.42","11,988.42","","1.54%"
"06/01/2017","12,015.84","11,562.56","12,098.94","11,540.81","","3.78%"
"05/01/2017","11,577.96","11,637.93","11,879.09","11,493.70","","-0.52%"
"04/01/2017","11,637.93","11,379.71","11,644.51","11,210.12","","2.27%"
"03/01/2017","11,379.71","11,926.49","12,044.54","11,338.27","","-4.58%"
"02/01/2017","11,926.49","12,228.90","12,370.33","11,692.21","","-2.47%"
"01/01/2017","12,228.90","11,644.22","12,950.84","11,518.44","","5.02%"
"12/01/2016","11,644.22","10,568.19","11,930.94","10,564.49","","9.10%"
"11/01/2016","10,672.53","10,564.64","10,742.98","10,480.12","","1.02%"
"10/01/2016","10,564.64","10,039.14","10,587.48","10,020.09","","5.23%"
"09/01/2016","10,039.14","9,860.65","10,060.87","9,857.12","","1.81%"
"08/01/2016","9,860.77","9,882.20","9,996.85","9,852.28","","-0.22%"
"07/01/2016","9,882.20","9,505.98","9,944.99","9,457.48","","3.96%"
"06/01/2016","9,505.98","9,756.28","9,843.42","9,427.34","","-2.58%"
"05/01/2016","9,757.92","9,867.10","10,234.53","9,702.79","","-2.18%"
"04/01/2016","9,975.72","9,382.21","9,975.72","9,268.74","","6.94%"
"03/01/2016","9,327.98","8,908.54","9,624.74","8,892.85","","4.71%"
"02/01/2016","8,908.44","8,890.66","9,222.09","8,859.64","","0.11%"
"01/01/2016","8,898.99","8,918.89","8,931.24","8,803.58","","-0.30%"
"12/01/2015","8,925.71","9,085.12","9,116.88","8,789.89","","-1.84%"
"11/01/2015","9,093.21","9,073.76","9,309.51","9,044.11","","0.13%"
"10/01/2015","9,081.80","9,110.38","9,136.52","8,921.04","","-0.36%"
"09/01/2015","9,114.29","9,290.98","9,338.87","9,037.50","","-2.48%"
"08/01/2015","9,345.70","9,812.28","9,892.79","9,252.66","","-4.05%"
"07/01/2015","9,740.01","9,576.35","9,750.01","9,505.02","","1.69%"
"06/01/2015","9,578.34","9,708.62","9,737.31","9,481.63","","-1.37%"
"05/01/2015","9,711.36","9,925.82","10,002.57","9,533.61","","-2.27%"
"04/01/2015","9,937.38","10,255.84","10,268.08","9,854.58","","-3.24%"
"03/01/2015","10,269.75","10,434.34","10,547.66","10,256.73","","-1.82%"
"02/01/2015","10,460.62","10,203.91","10,481.97","10,138.68","","2.33%"
"01/01/2015","10,222.56","9,565.92","10,381.58","9,565.92","","6.26%"
"12/01/2014","9,620.11","9,970.51","10,015.50","9,532.27","","-3.56%"
"11/01/2014","9,975.71","10,328.64","10,381.72","9,949.45","","-3.64%"
"10/01/2014","10,352.05","10,050.72","10,364.56","9,967.84","","2.69%"
"09/01/2014","10,080.80","9,543.56","10,080.80","9,517.70","","5.62%"
"08/01/2014","9,544.69","9,284.08","9,579.05","9,272.66","","2.29%"
"07/01/2014","9,331.09","9,195.41","9,339.29","9,171.58","","1.13%"
"06/01/2014","9,226.63","9,495.53","9,511.60","9,184.92","","-2.82%"
"05/01/2014","9,494.79","9,458.50","9,503.85","9,330.82","","0.24%"
"04/01/2014","9,471.64","9,508.48","9,600.22","9,456.49","","-0.50%"
"03/01/2014","9,519.21","9,405.73","9,648.36","9,402.78","","0.81%"
"02/01/2014","9,442.36","9,126.60","9,442.36","9,081.57","","3.52%"
"01/01/2014","9,121.28","9,093.22","9,271.02","9,069.63","","0.08%"
"12/01/2013","9,114.14","9,259.18","9,367.56","9,114.14","","-1.60%"
"11/01/2013","9,262.49","9,366.12","9,374.81","9,114.01","","-1.31%"
"10/01/2013","9,385.49","8,659.87","9,497.98","8,590.93","","8.21%"
"09/01/2013","8,673.49","8,407.03","8,815.14","8,358.10","","3.09%"
"08/01/2013","8,413.72","8,553.66","8,584.18","8,334.51","","-1.91%"
"07/01/2013","8,577.59","8,732.11","8,809.64","8,548.74","","-2.44%"
"06/01/2013","8,792.15","8,902.47","8,959.10","8,660.71","","-1.29%"
"05/01/2013","8,906.65","9,088.61","9,279.85","8,727.85","","-2.61%"
"04/01/2013","9,145.51","9,019.86","9,299.48","9,011.71","","1.16%"
"03/01/2013","9,040.96","8,879.23","9,054.96","8,711.70","","1.21%"
"02/01/2013","8,932.82","8,994.62","9,045.47","8,803.97","","-0.71%"
"01/01/2013","8,996.43","9,319.67","9,410.14","8,818.04","","-3.88%"
"12/01/2012","9,359.19","9,716.69","9,784.31","9,320.75","","-3.85%"
"11/01/2012","9,733.62","9,490.18","9,863.79","9,396.93","","2.41%"
"10/01/2012","9,504.55","9,464.70","9,658.85","9,068.25","","0.35%"
"09/01/2012","9,471.80","9,890.95","9,972.18","9,456.16","","-4.75%"
"08/01/2012","9,944.22","9,796.84","9,983.95","9,761.75","","0.96%"
"07/01/2012","9,849.77","10,006.57","10,094.88","9,668.79","","-2.03%"
"06/01/2012","10,053.90","10,279.55","10,307.45","9,867.14","","-2.27%"
"05/01/2012","10,286.99","10,271.60","10,366.87","9,698.11","","-0.07%"
"04/01/2012","10,293.90","10,940.48","10,960.95","10,218.11","","-5.98%"
"03/01/2012","10,948.45","11,398.85","11,439.81","10,874.28","","-3.95%"
"02/01/2012","11,398.94","11,196.89","11,575.87","11,171.36","","1.67%"
"01/01/2012","11,211.71","11,119.31","11,211.72","10,922.75","","1.67%"
"12/01/2011","11,027.65","10,933.85","11,392.21","10,779.94","","0.68%"
"11/01/2011","10,952.68","11,320.33","11,326.08","10,823.89","","-3.52%"
"10/01/2011","11,352.19","11,463.87","11,546.85","11,279.06","","-1.01%"
"09/01/2011","11,467.63","11,539.33","11,837.78","11,207.02","","-0.43%"
"08/01/2011","11,517.14","11,141.32","11,517.51","10,716.54","","2.80%"
"07/01/2011","11,202.95","11,475.44","11,607.68","11,154.09","","-2.68%"
"06/01/2011","11,510.93","12,197.66","12,219.93","11,447.22","","-5.62%"
"05/01/2011","12,196.70","11,559.04","12,223.77","11,559.04","","5.59%"
"04/01/2011","11,551.50","12,159.66","12,263.34","11,551.45","","-5.11%"
"03/01/2011","12,173.79","12,764.61","12,885.94","12,173.79","","-4.94%"
"02/01/2011","12,805.81","12,668.57","12,984.01","12,142.14","","1.72%"
"01/01/2011","12,589.31","12,631.48","13,401.32","12,537.27","","-0.52%"
"12/01/2010","12,655.20","12,244.69","12,989.22","12,232.36","","3.53%"
"11/01/2010","12,224.20","12,155.66","12,326.38","12,055.69","","0.23%"
"10/01/2010","12,196.70","11,899.75","12,401.73","11,608.03","","2.52%"
"09/01/2010","11,896.36","11,704.96","11,930.36","11,613.91","","1.37%"
"08/01/2010","11,736.15","11,769.70","11,795.85","11,453.64","","-0.39%"
"07/01/2010","11,782.52","11,773.45","11,967.57","11,628.67","","0.07%"
"06/01/2010","11,773.87","12,058.72","12,330.76","11,752.57","","-2.44%"
"05/01/2010","12,068.53","12,279.74","12,492.03","11,881.88","","-1.78%"
"04/01/2010","12,286.99","11,413.63","12,286.99","11,285.40","","7.60%"
"03/01/2010","11,418.77","11,097.27","11,589.83","10,912.40","","2.90%"
"02/01/2010","11,096.80","10,924.53","11,113.50","10,818.01","","1.54%"
"01/01/2010","10,928.44","10,446.12","11,008.00","10,222.49","","4.64%"
"12/01/2009","10,443.81","10,239.62","10,522.58","9,987.09","","2.31%"
"11/01/2009","10,208.45","10,752.50","10,810.53","10,190.82","","-5.26%"
"10/01/2009","10,775.76","10,746.87","11,026.36","10,625.08","","0.10%"
"09/01/2009","10,765.39","11,042.16","11,092.80","10,702.14","","-2.56%"
"08/01/2009","11,048.73","11,037.14","11,178.02","10,891.12","","0.70%"
"07/01/2009","10,971.66","11,577.49","11,577.49","10,889.35","","-5.32%"
"06/01/2009","11,588.55","11,034.08","11,767.36","11,034.08","","5.12%"
"05/01/2009","11,024.37","10,952.04","11,269.96","10,858.99","","0.79%"
"04/01/2009","10,937.91","10,385.65","10,977.55","10,327.38","","5.15%"
"03/01/2009","10,402.09","11,279.73","11,312.67","10,342.18","","-7.20%"
"02/01/2009","11,209.37","10,137.85","11,328.31","9,907.83","","10.62%"
"01/01/2009","10,133.32","10,984.29","10,944.24","9,367.53","","-7.75%"
"12/01/2008","10,984.29","11,120.12","11,610.30","10,377.71","","-1.21%"
"11/01/2008","11,119.28","12,014.64","12,263.50","10,742.27","","-7.17%"
"10/01/2008","11,977.53","12,483.10","12,750.81","11,145.95","","-4.09%"
"09/01/2008","12,487.70","13,968.44","14,083.91","12,074.49","","-10.74%"
"08/01/2008","13,990.62","14,119.40","14,274.73","13,853.19","","-1.02%"
"07/01/2008","14,134.69","14,188.55","14,524.53","14,064.30","","-0.40%"
"06/01/2008","14,191.07","14,493.55","14,564.33","13,963.34","","-2.24%"
"05/01/2008","14,516.97","14,391.70","14,640.78","14,203.30","","0.90%"
"04/01/2008","14,387.79","14,684.48","14,924.63","14,324.43","","-2.02%"
"03/01/2008","14,684.13","14,411.02","14,960.24","14,220.03","","1.40%"
"02/01/2008","14,481.54","13,789.48","14,693.96","13,788.58","","4.86%"
"01/01/2008","13,809.79","12,727.92","13,922.22","12,727.01","","8.78%"
"12/01/2007","12,694.97","12,691.53","12,714.67","12,358.33","","0.09%"
"11/01/2007","12,683.43","12,752.89","13,143.55","12,419.25","","-1.32%"
"10/01/2007","12,852.84","12,830.68","13,281.60","12,750.43","","0.26%"
"09/01/2007","12,819.11","12,647.75","13,823.09","12,647.75","","1.54%"
"08/01/2007","12,625.01","11,556.56","12,680.46","11,556.56","","8.73%"
"07/01/2007","11,611.58","11,413.32","11,611.58","11,257.20","","1.23%"
"06/01/2007","11,469.93","11,775.26","12,000.39","11,346.91","","-3.33%"
"05/01/2007","11,864.61","12,325.20","12,800.60","10,576.53","","-3.78%"
"04/01/2007","12,330.32","11,456.87","12,368.01","11,304.06","","7.24%"
"03/01/2007","11,497.87","10,637.76","11,629.34","10,586.75","","7.29%"
"02/01/2007","10,716.90","10,418.91","11,351.86","10,113.38","","2.50%"
"01/01/2007","10,455.33","9,458.69","10,516.37","9,418.46","","10.29%"
"12/01/2006","9,479.45","9,131.08","10,206.84","9,120.66","","3.91%"
"11/01/2006","9,122.34","8,462.27","9,176.08","8,409.28","","8.20%"
"10/01/2006","8,431.06","8,064.15","8,436.41","7,654.91","","4.48%"
"09/01/2006","8,069.89","7,847.47","8,228.57","7,834.08","","2.51%"
"08/01/2006","7,872.15","7,028.06","7,884.68","7,027.41","","11.52%"
"07/01/2006","7,058.98","7,143.67","7,455.45","7,026.58","","-1.60%"
"06/01/2006","7,173.71","7,204.28","7,375.04","6,526.53","","0.39%"
"05/01/2006","7,146.17","7,973.57","8,550.73","6,843.20","","-11.50%"
"04/01/2006","8,074.94","7,361.43","8,087.72","7,342.89","","9.89%"
"03/01/2006","7,348.30","6,966.26","7,376.45","6,633.03","","5.57%"
"02/01/2006","6,960.48","6,676.80","7,265.20","6,653.84","","4.61%"
"01/01/2006","6,654.00","5,543.13","6,664.05","5,516.68","","20.13%"
"12/01/2005","5,539.13","5,556.00","5,591.22","5,297.98","","-0.38%"
"11/01/2005","5,560.16","5,278.96","5,645.33","5,278.96","","5.34%"
"10/01/2005","5,278.51","5,114.85","5,278.51","5,112.98","","3.27%"
"09/01/2005","5,111.39","5,094.87","5,239.73","5,044.46","","0.24%"
"08/01/2005","5,099.02","4,875.97","5,204.95","4,864.76","","4.01%"
"07/01/2005","4,902.46","4,620.96","4,918.68","4,604.25","","4.98%"
"06/01/2005","4,669.70","4,665.47","4,689.22","4,614.82","","-0.37%"
"05/01/2005","4,686.97","4,470.76","4,689.77","4,431.32","","4.74%"
"04/01/2005","4,474.70","4,363.36","4,476.88","4,345.34","","2.03%"
"03/01/2005","4,385.68","4,437.89","4,489.51","4,372.86","","-1.36%"
"02/01/2005","4,446.24","4,545.50","4,605.90","4,359.95","","-2.54%"
"01/01/2005","4,562.27","4,522.22","4,563.55","4,461.95","","0.89%"
"12/01/2004","4,521.98","3,933.54","4,524.88","3,933.54","","14.95%"
"11/01/2004","3,933.81","3,820.29","4,061.10","3,818.31","","3.35%"
"10/01/2004","3,806.15","4,502.02","4,503.42","3,773.43","","-15.61%"
"09/01/2004","4,510.17","4,581.80","4,649.45","4,446.49","","-1.53%"
"08/01/2004","4,580.44","4,518.23","4,582.04","4,494.38","","1.46%"
"07/01/2004","4,514.72","4,443.59","4,531.99","4,405.97","","0.35%"
"06/01/2004","4,498.88","4,528.44","4,614.80","4,488.94","","-1.01%"
"05/01/2004","4,544.78","4,608.10","4,642.27","4,391.10","","-1.65%"
"04/01/2004","4,620.91","4,478.05","4,629.77","4,478.05","","3.30%"
"03/01/2004","4,473.30","4,322.50","4,558.57","4,322.50","","3.16%"
"02/01/2004","4,336.40","4,120.98","4,354.71","4,119.30","","5.36%"
"01/01/2004","4,115.93","3,931.80","4,115.93","3,926.28","","4.37%"
"12/01/2003","3,943.51","3,873.37","3,991.64","3,873.37","","2.13%"
"11/01/2003","3,861.25","3,784.45","3,897.17","3,783.84","","1.94%"
"10/01/2003","3,787.88","3,744.90","3,797.27","3,723.47","","1.12%"
"09/01/2003","3,745.93","3,690.87","3,866.66","3,684.33","","1.33%"
"08/01/2003","3,696.71","3,522.06","3,708.96","3,507.92","","4.95%"
"07/01/2003","3,522.49","3,497.30","3,529.12","3,455.50","","-1.18%"
"06/01/2003","3,564.48","3,331.46","3,600.16","3,331.46","","6.96%"
"05/01/2003","3,332.69","3,268.69","3,332.69","3,263.57","","1.82%"
"04/01/2003","3,273.19","3,086.79","3,288.07","3,082.93","","6.30%"
