"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2010","344.23","340.75","344.82","340.26","1.10K","-0.29%"
"04/09/2010","345.22","339.41","347.10","339.27","3.05K","-0.57%"
"04/08/2010","347.20","343.23","347.20","343.23","0.40K","-1.13%"
"04/07/2010","351.17","346.21","351.17","344.23","1.34K","1.43%"
"04/06/2010","346.21","344.23","347.20","344.23","1.63K","0.29%"
"04/05/2010","345.22","345.22","345.22","344.13","0.54K","0.32%"
"04/02/2010","344.13","344.23","344.23","344.13","0.02K","-0.03%"
"04/01/2010","344.23","344.72","344.72","342.24","3.14K","-0.14%"
"03/31/2010","344.72","347.20","347.20","343.73","2.41K","-1.84%"
"03/30/2010","351.17","354.15","354.15","347.70","5.52K","1.14%"
"03/29/2010","347.20","344.23","352.16","337.83","0.74K","1.45%"
"03/26/2010","342.24","337.08","354.15","337.08","3.70K","1.77%"
"03/25/2010","336.29","337.28","337.28","333.86","0.42K","-0.29%"
"03/24/2010","337.28","334.31","337.28","334.31","0.19K","0.00%"
"03/23/2010","337.28","339.27","339.27","335.30","13.08K","0.00%"
"03/22/2010","337.28","335.30","337.38","335.30","2.79K","0.00%"
"03/19/2010","337.28","338.27","338.27","334.31","2.38K","-0.01%"
"03/18/2010","337.33","339.27","342.94","337.28","23.92K","-2.00%"
"03/17/2010","344.23","344.23","346.11","342.24","14.17K","-0.86%"
"03/16/2010","347.20","339.27","347.20","339.27","7.65K","-0.06%"
"03/15/2010","347.40","345.37","350.18","345.02","17.38K","-5.35%"
"03/12/2010","367.04","365.11","371.90","363.07","6.12K","0.54%"
"03/11/2010","365.06","369.03","369.03","365.06","0.55K","-1.08%"
"03/10/2010","369.03","367.04","374.73","367.04","1.41K","-1.53%"
"03/09/2010","374.78","369.08","374.78","369.03","0.40K","-0.03%"
"03/08/2010","374.88","372.00","374.88","369.03","11.78K","-0.03%"
"03/05/2010","374.98","374.98","374.98","368.03","1.07K","-0.13%"
"03/04/2010","375.47","376.76","377.46","364.07","23.88K","1.47%"
"03/03/2010","370.02","367.04","370.02","367.04","1.13K","0.81%"
"03/02/2010","367.04","367.04","367.04","363.27","0.11K","0.54%"
"03/01/2010","365.06","363.22","373.89","363.22","18.90K","-2.36%"
"02/26/2010","373.89","374.93","374.93","363.17","0.10K","1.05%"
"02/25/2010","370.02","379.84","379.84","370.02","6.07K","-2.27%"
"02/24/2010","378.60","352.16","378.60","352.16","29.24K","6.00%"
"02/23/2010","357.17","352.16","357.17","350.38","4.97K","0.31%"
"02/22/2010","356.08","353.15","358.06","352.16","0.57K","-0.29%"
"02/19/2010","357.12","352.16","357.12","352.16","1.21K","1.39%"
"02/18/2010","352.21","356.58","356.58","350.77","10.35K","-1.37%"
"02/17/2010","357.12","357.12","362.08","356.13","3.69K","-0.80%"
"02/16/2010","360.00","351.17","360.00","349.19","2.93K","2.51%"
"02/15/2010","351.17","345.22","352.16","345.22","7.76K","1.14%"
"02/12/2010","347.20","343.23","347.20","342.34","1.54K","1.16%"
"02/11/2010","343.23","338.82","344.23","338.82","0.96K","0.29%"
"02/10/2010","342.24","342.24","345.22","342.24","2.53K","1.02%"
"02/09/2010","338.77","337.43","345.66","337.43","0.59K","-1.44%"
"02/08/2010","343.73","339.36","345.17","339.27","4.00K","-0.56%"
"02/05/2010","345.66","339.76","347.20","339.76","0.55K","0.13%"
"02/04/2010","345.22","340.85","345.22","340.85","1.18K","0.00%"
"02/03/2010","345.22","340.75","345.22","340.75","0.02K","-0.29%"
"02/02/2010","346.21","341.84","347.20","341.25","0.11K","-0.29%"
"02/01/2010","347.20","351.62","351.62","341.25","0.47K","1.45%"
"01/29/2010","342.24","347.20","350.18","342.24","2.35K","-1.40%"
"01/28/2010","347.10","339.27","347.20","339.27","0.39K","0.27%"
"01/27/2010","346.16","342.24","346.21","342.24","1.52K","2.18%"
"01/26/2010","338.77","333.51","344.18","333.51","12.82K","-0.45%"
"01/25/2010","340.31","332.32","351.12","332.32","3.74K","-2.13%"
"01/22/2010","347.70","357.12","357.12","347.30","4.32K","-1.96%"
"01/21/2010","354.64","362.08","362.08","352.16","5.41K","-2.27%"
"01/20/2010","362.88","357.12","363.67","354.34","1.64K","1.61%"
"01/19/2010","357.12","346.21","357.12","346.21","10.65K","1.41%"
"01/18/2010","352.16","342.24","353.15","342.24","6.88K","2.65%"
"01/15/2010","343.08","328.45","343.23","328.45","10.47K","2.09%"
"01/14/2010","336.04","337.28","337.28","325.63","1.14K","-0.07%"
"01/13/2010","336.29","331.33","339.27","331.33","15.19K","1.51%"
"01/12/2010","331.28","332.32","332.32","327.36","0.60K","-0.28%"
"01/08/2010","332.22","327.46","336.24","327.36","2.74K","2.06%"
"01/07/2010","325.53","325.38","336.29","325.38","7.09K","-1.63%"
"01/06/2010","330.93","319.33","331.23","317.54","1.93K","3.63%"
"01/05/2010","319.33","317.44","319.33","317.44","0.49K","1.84%"
"01/04/2010","313.57","322.20","322.20","313.57","0.33K","0.35%"
"12/31/2009","312.48","322.40","324.73","312.48","20.16K","-3.76%"
"12/30/2009","324.68","339.17","339.17","324.39","3.46K","-2.25%"
"12/29/2009","332.17","331.38","340.26","331.33","5.00K","-3.22%"
"12/28/2009","343.23","329.35","347.20","329.35","4.49K","2.66%"
"12/25/2009","334.35","328.35","334.35","328.35","0.41K","1.77%"
"12/24/2009","328.55","330.44","330.44","328.55","2.63K","-0.32%"
"12/23/2009","329.59","331.33","336.29","329.54","0.82K","0.19%"
"12/22/2009","328.95","327.36","335.79","327.36","5.82K","-1.01%"
"12/21/2009","332.32","339.27","342.24","332.32","6.87K","-2.90%"
"12/17/2009","342.24","353.15","364.07","342.24","24.91K","-0.58%"
"12/16/2009","344.23","332.12","344.23","328.60","29.09K","5.79%"
"12/15/2009","325.38","327.36","335.20","324.58","10.09K","0.31%"
"12/14/2009","324.39","324.39","327.36","322.40","6.33K","-2.09%"
"12/11/2009","331.33","332.22","335.30","321.41","7.43K","0.33%"
"12/10/2009","330.24","324.48","332.32","324.39","3.68K","1.49%"
"12/09/2009","325.38","337.18","337.18","325.38","1.58K","0.44%"
"12/08/2009","323.94","327.86","337.28","323.94","7.71K","-2.96%"
"12/07/2009","333.81","322.40","333.81","322.40","1.79K","2.62%"
"12/04/2009","325.28","322.40","327.21","317.44","1.78K","1.05%"
"12/03/2009","321.91","330.34","330.34","320.52","2.60K","-3.71%"
"12/02/2009","334.31","332.32","334.31","319.52","3.21K","2.12%"
"12/01/2009","327.36","333.31","339.66","327.36","2.12K","-2.08%"
"11/30/2009","334.31","339.76","339.76","334.31","1.27K","-1.17%"
"11/27/2009","338.27","337.28","339.27","337.28","0.13K","-1.16%"
"11/26/2009","342.24","337.08","342.24","337.08","0.31K","1.77%"
"11/25/2009","336.29","336.29","336.29","335.30","0.79K","0.00%"
"11/24/2009","336.29","337.28","337.28","336.24","0.54K","0.00%"
"11/23/2009","336.29","335.30","337.28","335.30","0.86K","-1.45%"
"11/20/2009","341.25","335.30","341.25","335.30","0.05K","1.77%"
"11/19/2009","335.30","342.14","342.14","334.80","1.75K","-1.97%"
"11/17/2009","342.04","342.19","342.19","335.30","0.65K","-0.06%"
"11/16/2009","342.24","341.25","342.24","338.32","1.12K","-0.04%"
"11/13/2009","342.39","342.24","346.21","342.24","1.02K","0.04%"
"11/12/2009","342.24","347.70","352.11","342.24","1.87K","-3.09%"
"11/11/2009","353.15","348.29","353.15","348.19","0.45K","-0.27%"
"11/10/2009","354.10","348.69","354.10","348.69","0.14K","-0.01%"
"11/09/2009","354.15","355.14","355.14","349.19","0.41K","-1.33%"
"11/05/2009","358.91","355.14","359.11","355.14","0.58K","0.50%"
"11/04/2009","357.12","355.14","357.12","355.14","0.52K","0.42%"
"11/03/2009","355.63","356.18","366.05","352.16","0.11K","-3.08%"
"11/02/2009","366.94","355.14","366.94","355.14","0.58K","0.38%"
"10/30/2009","365.55","366.05","366.05","361.09","0.18K","-0.41%"
"10/29/2009","367.04","367.04","367.04","359.11","0.60K","-1.02%"
"10/28/2009","370.81","361.09","370.81","361.09","0.14K","0.25%"
"10/27/2009","369.87","362.13","369.87","362.13","0.04K","-0.31%"
"10/26/2009","371.01","365.06","371.01","362.08","0.36K","-0.53%"
"10/23/2009","372.99","372.00","372.99","372.00","0.12K","0.27%"
"10/22/2009","372.00","366.05","374.48","366.05","6.58K","3.02%"
"10/21/2009","361.09","367.04","370.02","361.09","0.63K","-3.19%"
"10/20/2009","372.99","368.03","372.99","360.10","1.73K","0.40%"
"10/19/2009","371.51","375.97","375.97","371.51","0.45K","-1.39%"
"10/16/2009","376.76","376.81","376.81","376.76","0.09K","0.49%"
"10/15/2009","374.93","375.97","375.97","372.00","1.05K","0.25%"
"10/14/2009","373.99","376.86","376.96","373.99","759.26K","0.17%"
"10/13/2009","373.34","376.96","378.75","373.34","2.75K","-0.96%"
"10/12/2009","376.96","376.96","378.95","373.74","1.06K","0.50%"
"10/09/2009","375.08","373.49","378.95","373.49","0.63K","0.56%"
"10/08/2009","372.99","379.94","385.69","372.99","1.71K","-1.60%"
"10/07/2009","379.04","376.96","386.88","376.96","3.31K","0.55%"
"10/06/2009","376.96","370.12","376.96","370.12","0.52K","0.00%"
"10/05/2009","376.96","372.65","376.96","372.65","0.42K","-0.53%"
"10/02/2009","378.95","370.02","378.95","370.02","0.16K","0.53%"
"10/01/2009","376.96","373.99","376.96","372.99","0.24K","0.26%"
"09/30/2009","375.97","377.95","380.93","372.99","1.18K","-2.82%"
"09/29/2009","386.88","385.05","395.76","385.00","1.08K","-2.46%"
"09/25/2009","396.65","391.84","396.65","376.96","0.90K","0.01%"
"09/24/2009","396.60","395.81","396.80","395.81","1.22K","-0.03%"
"09/23/2009","396.70","396.70","396.70","396.70","0.21K","-0.03%"
"09/18/2009","396.80","392.83","396.80","392.83","5.32K","0.53%"
"09/17/2009","394.72","387.87","394.82","387.87","8.08K","2.03%"
"09/16/2009","386.88","386.93","387.08","386.88","0.17K","-2.74%"
"09/15/2009","397.79","386.93","400.67","386.93","8.23K","-0.72%"
"09/14/2009","400.67","400.67","400.67","400.67","0.06K","0.98%"
"09/11/2009","396.80","391.84","396.80","391.84","0.51K","-0.75%"
"09/10/2009","399.78","405.73","405.73","389.91","3.73K","1.13%"
"09/09/2009","395.31","386.88","396.80","382.91","170.65K","2.18%"
"09/08/2009","386.88","384.90","386.88","384.90","0.27K","-0.76%"
"09/07/2009","389.86","390.85","391.84","384.90","6.63K","0.51%"
"09/04/2009","387.87","391.84","391.84","387.87","9.89K","-2.20%"
"09/03/2009","396.60","392.09","396.60","384.90","2.78K","-0.03%"
"09/02/2009","396.70","396.70","396.70","396.70","0.00K","-0.03%"
"09/01/2009","396.80","398.69","401.76","392.83","166.45K","-0.25%"
"08/31/2009","397.79","396.95","397.79","396.95","0.16K","0.21%"
"08/28/2009","396.95","396.80","398.79","396.80","3.39K","-0.46%"
"08/27/2009","398.79","396.80","398.79","396.80","0.25K","0.49%"
"08/26/2009","396.85","396.85","396.85","396.85","0.11K","-0.24%"
"08/25/2009","397.79","396.80","397.79","396.80","1.32K","-0.99%"
"08/24/2009","401.76","397.84","401.76","396.85","0.84K","1.17%"
"08/19/2009","397.10","402.80","410.69","396.80","0.14K","-2.37%"
"08/18/2009","406.72","404.74","416.15","404.74","8.66K","-0.24%"
"08/17/2009","407.71","387.03","407.71","387.03","6.39K","5.34%"
"08/13/2009","387.03","391.84","391.84","387.03","0.94K","-2.22%"
"08/12/2009","395.81","395.71","395.81","390.85","3.14K","0.00%"
"08/11/2009","395.81","393.83","395.81","387.87","1.87K","-0.25%"
"08/10/2009","396.80","396.80","396.80","396.80","0.08K","-0.50%"
"08/07/2009","398.79","396.80","398.79","396.80","0.63K","-1.76%"
"08/06/2009","405.93","404.74","411.68","396.80","4.13K","-1.16%"
"08/05/2009","410.69","406.72","411.53","406.72","0.34K","1.47%"
"08/04/2009","404.74","404.74","406.72","404.74","1.62K","0.12%"
"08/03/2009","404.24","404.74","404.74","404.24","0.01K","-0.10%"
"07/31/2009","404.64","404.74","404.74","398.79","0.17K","0.00%"
"07/29/2009","404.64","398.79","404.64","397.89","0.14K","-0.02%"
"07/28/2009","404.74","404.74","404.74","398.79","0.02K","0.00%"
"07/27/2009","404.74","404.74","404.74","404.74","0.40K","-0.24%"
"07/24/2009","405.73","398.84","405.73","398.84","0.10K","1.45%"
"07/23/2009","399.93","405.73","406.42","398.39","12.06K","-1.67%"
"07/22/2009","406.72","396.90","406.72","396.80","2.04K","2.22%"
"07/21/2009","397.89","394.82","405.73","394.82","0.56K","0.25%"
"07/20/2009","396.90","393.88","406.67","393.88","0.48K","-1.91%"
"07/17/2009","404.64","392.83","404.64","392.83","0.18K","1.02%"
