symbol,trade_date,price,open,high,low,volume,change_pct,source_name,scraped_at
IAM,2026-03-04,92.0,,95.0,91.61,824399.0,0.0,medias24,2026-03-10 22:16:04.635170
IAM,2026-03-03,92.0,,95.0,92.0,407619.0,-3.16,medias24,2026-03-10 22:16:04.635341
IAM,2026-03-02,95.0,,99.0,95.0,1386631.0,-4.04,medias24,2026-03-10 22:16:04.635509
IAM,2026-02-27,99.0,,102.45,99.0,451998.0,-2.99,medias24,2026-03-10 22:16:04.635677
IAM,2026-02-26,102.05,,103.8,102.0,78206.0,-0.87,medias24,2026-03-10 22:16:04.635845
IAM,2026-02-25,102.95,,103.95,102.95,59901.0,-0.15,medias24,2026-03-10 22:16:04.636009
IAM,2026-02-24,103.1,,103.8,103.1,70805.0,-0.39,medias24,2026-03-10 22:16:04.636171
IAM,2026-02-23,103.5,,104.0,103.05,239433.0,-0.05,medias24,2026-03-10 22:16:04.636333
IAM,2026-02-20,103.55,,104.5,103.55,225093.0,-0.43,medias24,2026-03-10 22:16:04.636496
IAM,2026-02-19,104.0,,104.95,103.85,111551.0,-0.19,medias24,2026-03-10 22:16:04.636657
IAM,2026-02-18,104.2,,106.5,104.2,66812.0,-1.61,medias24,2026-03-10 22:16:04.636817
IAM,2026-02-17,105.9,,106.0,105.55,110402.0,-0.66,medias24,2026-03-10 22:16:04.636976
IAM,2026-02-16,106.6,,107.0,105.5,95960.0,1.09,medias24,2026-03-10 22:16:04.637133
IAM,2026-02-13,105.45,,107.0,105.45,222499.0,-0.47,medias24,2026-03-10 22:16:04.637292
IAM,2026-02-12,105.95,,106.0,105.0,259341.0,0.43,medias24,2026-03-10 22:16:04.637451
JET CONTRACTORS,2026-03-09,2005.0,,2088.0,2003.0,7081.0,-8.45,medias24,2026-03-10 22:16:12.316384
JET CONTRACTORS,2026-03-06,2190.0,,2375.0,2190.0,7463.0,-4.58,medias24,2026-03-10 22:16:12.316558
JET CONTRACTORS,2026-03-05,2295.0,,2295.0,2200.0,5206.0,6.6,medias24,2026-03-10 22:16:12.316720
JET CONTRACTORS,2026-03-04,2153.0,,2298.0,2153.0,4403.0,0.0,medias24,2026-03-10 22:16:12.316877
JET CONTRACTORS,2026-03-03,2153.0,,2350.0,2153.0,8929.0,-9.99,medias24,2026-03-10 22:16:12.317031
JET CONTRACTORS,2026-03-02,2392.0,,2464.0,2341.0,6955.0,-8.0,medias24,2026-03-10 22:16:12.317184
JET CONTRACTORS,2026-02-27,2600.0,,2673.0,2600.0,4246.0,-2.8,medias24,2026-03-10 22:16:12.317335
JET CONTRACTORS,2026-02-26,2675.0,,2675.0,2571.0,784.0,1.36,medias24,2026-03-10 22:16:12.317484
JET CONTRACTORS,2026-02-25,2639.0,,2689.0,2601.0,3195.0,-0.42,medias24,2026-03-10 22:16:12.317635
JET CONTRACTORS,2026-02-24,2650.0,,2685.0,2631.0,4623.0,0.76,medias24,2026-03-10 22:16:12.317783
JET CONTRACTORS,2026-02-23,2630.0,,2727.0,2605.0,947.0,-3.56,medias24,2026-03-10 22:16:12.317932
JET CONTRACTORS,2026-02-20,2727.0,,2727.0,2632.0,702.0,0.0,medias24,2026-03-10 22:16:12.318081
JET CONTRACTORS,2026-02-19,2727.0,,2730.0,2630.0,584.0,-0.11,medias24,2026-03-10 22:16:12.318228
JET CONTRACTORS,2026-02-18,2730.0,,2745.0,2660.0,4499.0,0.37,medias24,2026-03-10 22:16:12.318418
JET CONTRACTORS,2026-02-17,2720.0,,2802.0,2649.0,8058.0,2.64,medias24,2026-03-10 22:16:12.318855
JET CONTRACTORS,2026-02-16,2650.0,,2650.0,2610.0,27053.0,1.92,medias24,2026-03-10 22:16:12.319211
JET CONTRACTORS,2026-02-13,2600.0,,2680.0,2600.0,1469.0,-1.89,medias24,2026-03-10 22:16:12.319427
JET CONTRACTORS,2026-02-12,2650.0,,2659.0,2531.0,6028.0,1.96,medias24,2026-03-10 22:16:12.319605
SGTM,2026-03-09,700.0,,715.0,695.0,25355.0,-4.11,medias24,2026-03-10 22:16:23.251329
SGTM,2026-03-06,730.0,,764.0,720.0,53853.0,-2.01,medias24,2026-03-10 22:16:23.252281
SGTM,2026-03-05,745.0,,745.0,714.0,44153.0,6.43,medias24,2026-03-10 22:16:23.253190
SGTM,2026-03-04,700.0,,720.0,689.0,192870.0,-0.01,medias24,2026-03-10 22:16:23.254035
SGTM,2026-03-03,700.1,,740.0,683.0,106748.0,-7.52,medias24,2026-03-10 22:16:23.254637
SGTM,2026-03-02,757.0,,780.0,742.0,230544.0,-7.68,medias24,2026-03-10 22:16:23.255348
SGTM,2026-02-27,820.0,,835.0,820.0,97861.0,-0.61,medias24,2026-03-10 22:16:23.256106
SGTM,2026-02-26,825.0,,830.0,821.4,8758.0,-0.6,medias24,2026-03-10 22:16:23.256677
SGTM,2026-02-25,830.0,,833.0,822.0,8289.0,0.24,medias24,2026-03-10 22:16:23.257205
SGTM,2026-02-24,828.0,,829.5,820.0,25145.0,0.36,medias24,2026-03-10 22:16:23.257777
SGTM,2026-02-23,825.0,,830.0,825.0,19532.0,-1.55,medias24,2026-03-10 22:16:23.258287
SGTM,2026-02-20,838.0,,838.0,823.1,13245.0,0.36,medias24,2026-03-10 22:16:23.258780
SGTM,2026-02-19,835.0,,835.0,820.1,11457.0,0.59,medias24,2026-03-10 22:16:23.259277
SGTM,2026-02-18,830.1,,835.0,830.0,6865.0,0.01,medias24,2026-03-10 22:16:23.259769
SGTM,2026-02-17,830.0,,845.0,830.0,10109.0,-2.12,medias24,2026-03-10 22:16:23.260260
SGTM,2026-02-16,848.0,,848.0,830.1,225511.0,-0.24,medias24,2026-03-10 22:16:23.260752
SGTM,2026-02-13,850.0,,850.0,826.0,43753.0,0.59,medias24,2026-03-10 22:16:23.261239
SGTM,2026-02-12,845.0,,845.0,810.5,23890.0,3.05,medias24,2026-03-10 22:16:23.261719
