"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2024","698.00","699.50","700.00","691.20","34.14K","1.16%"
"02/11/2024","690.00","635.00","736.00","635.00","167.61K","8.66%"
"02/04/2024","635.00","607.00","635.00","603.50","54.01K","4.96%"
"01/28/2024","605.00","570.00","614.80","567.00","68.11K","6.53%"
"01/21/2024","567.90","564.50","574.00","553.10","44.98K","0.14%"
"01/14/2024","567.10","550.00","573.00","540.10","79.30K","3.11%"
"01/07/2024","550.00","510.00","553.50","506.00","90.11K","7.84%"
"12/31/2023","510.00","500.00","510.00","495.00","37.35K","2.82%"
"12/24/2023","496.00","493.50","499.00","492.10","34.94K","-0.78%"
"12/17/2023","499.90","499.00","508.90","492.40","70.04K","0.79%"
"12/10/2023","496.00","490.00","499.00","485.00","62.35K","1.22%"
"12/03/2023","490.00","483.00","491.90","481.00","34.52K","-0.41%"
"11/26/2023","492.00","487.30","493.80","480.00","54.22K","0.82%"
"11/19/2023","488.00","486.10","492.00","486.10","25.63K","0.31%"
"11/12/2023","486.50","490.50","494.00","485.10","33.21K","-1.68%"
"11/05/2023","494.80","500.00","504.90","485.00","33.09K","-0.93%"
"10/29/2023","499.45","501.00","506.00","482.20","23.76K","-0.11%"
"10/22/2023","500.00","501.00","509.00","482.05","49.45K","-0.99%"
"10/15/2023","505.00","518.90","548.00","490.00","116.79K","-1.85%"
"10/08/2023","514.50","470.00","514.90","470.00","81.98K","7.19%"
"10/01/2023","480.00","482.00","494.00","463.00","88.96K","0.21%"
"09/24/2023","479.00","430.00","485.00","430.00","141.57K","11.66%"
"09/17/2023","429.00","405.00","429.90","397.30","140.92K","5.93%"
"09/10/2023","405.00","400.05","405.00","393.00","33.18K","0.00%"
"09/03/2023","405.00","417.00","418.65","401.00","37.41K","-2.43%"
"08/27/2023","415.10","398.25","418.00","390.00","111.44K","3.78%"
"08/20/2023","400.00","407.00","407.00","400.00","20.66K","-1.72%"
"08/13/2023","407.00","405.00","408.50","402.30","38.45K","1.22%"
"08/06/2023","402.10","403.00","406.00","402.00","64.91K","-0.22%"
"07/30/2023","403.00","400.00","412.00","398.00","104.67K","1.26%"
"07/23/2023","398.00","384.00","400.00","384.00","45.84K","3.67%"
"07/16/2023","383.90","372.15","388.00","372.10","69.39K","2.65%"
"07/09/2023","374.00","374.50","375.00","360.00","77.52K","0.01%"
"07/02/2023","373.95","347.55","384.00","347.55","95.40K","7.61%"
"06/25/2023","347.50","340.00","348.00","339.00","10.38K","0.43%"
"06/18/2023","346.00","320.00","346.00","320.00","86.16K","8.13%"
"06/11/2023","320.00","316.05","324.95","315.00","84.43K","0.79%"
"06/04/2023","317.50","320.00","320.00","315.50","17.81K","-0.78%"
"05/28/2023","320.00","312.00","324.95","308.10","39.08K","2.56%"
"05/21/2023","312.00","312.50","312.55","308.00","37.45K","-1.25%"
"05/14/2023","315.95","311.00","317.00","310.30","27.23K","1.92%"
"05/07/2023","310.00","296.50","310.00","296.50","182.09K","3.33%"
"04/30/2023","300.00","300.00","302.00","298.00","6.87K","-0.22%"
"04/23/2023","300.65","302.50","302.50","300.25","4.12K","-0.28%"
"04/16/2023","301.50","298.20","304.90","298.20","16.64K","-0.33%"
"04/09/2023","302.50","291.20","306.00","291.20","137.15K","1.61%"
"04/02/2023","297.70","291.00","300.00","287.05","30.61K","3.73%"
"03/26/2023","287.00","290.00","291.00","287.00","39.63K","0.00%"
"03/19/2023","287.00","286.00","294.00","285.20","5.37K","-1.88%"
"03/12/2023","292.50","292.95","292.95","287.00","8.29K","0.17%"
"03/05/2023","292.00","294.65","294.65","288.00","4.69K","0.69%"
"02/26/2023","290.00","294.00","296.00","290.00","3.93K","-1.66%"
"02/19/2023","294.90","295.00","298.00","290.00","7.02K","-1.68%"
"02/12/2023","299.95","297.00","299.95","292.50","2.33K","0.65%"
"02/05/2023","298.00","297.90","303.05","295.05","55.60K","1.02%"
"01/29/2023","295.00","292.00","302.45","285.00","54.23K","1.72%"
"01/22/2023","290.00","299.90","299.90","280.00","7.15K","-3.30%"
"01/15/2023","299.90","273.00","300.00","272.10","93.90K","9.45%"
"01/08/2023","274.00","272.15","279.35","270.00","29.14K","0.68%"
"01/01/2023","272.15","275.00","284.00","272.15","63.94K","-1.39%"
"12/25/2022","276.00","291.00","292.00","271.25","188.16K","-5.15%"
"12/18/2022","291.00","300.00","301.95","287.10","135.83K","-3.00%"
